schema_version,episode_id,task_suite,task_id,episode_index,task_description,seed,task_success,termination_reason,initial_state_sha256,stabilization_steps,task_steps,wall_time_s,parent_process_id,worker_process_id,worker_stopped,submitted_requests,started_requests,completed_requests,superseded_requests,accepted_responses,failed_responses,deadline_exceeded_responses,hold_ticks,execute_ticks,ticks_during_inference,tick_overruns,response_age_p50_ms,response_age_p95_ms,response_age_max_ms,video_path
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_04,libero_spatial,0,4,pick up the black bowl between the plate and the ramekin and place it on the plate,9,True,task_success,e028ab4976791a4c402249a77b5b09b44549d6a65acd8f629d9a61c45f049c6b,10,110,15.405512099998305,1,159,True,110,69,68,41,68,0,0,16,94,108,1,109.41749450284988,130.96544254512992,133.58453899854794,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_05,libero_spatial,0,5,pick up the black bowl between the plate and the ramekin and place it on the plate,9,True,task_success,a02a6f3f78646a8aebf5c7f992587f813845a963ea2937c77e76b0e7c559ed60,10,105,10.399971406994155,1,232,True,105,65,64,39,64,0,0,15,90,102,1,106.01971799769672,129.06011890008813,132.45659400126897,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_06,libero_spatial,0,6,pick up the black bowl between the plate and the ramekin and place it on the plate,9,True,task_success,13cefaeb7cbe5564bb1420fe55fbde3b8a60a9d382517639b05ad247fce3044d,10,72,8.832029109005816,1,305,True,72,45,44,26,44,0,0,11,61,68,1,110.13116750109475,130.8598090108717,131.85618400166277,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_07,libero_spatial,0,7,pick up the black bowl between the plate and the ramekin and place it on the plate,9,True,task_success,2f10b6cf2b4012897a30a4696147807976c704627578a527b88a53474db0fe23,10,82,9.199410214001546,1,378,True,82,51,50,30,50,0,0,9,73,80,1,104.39532149757724,126.79328724916557,131.5243319986621,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_04,libero_spatial,1,4,pick up the black bowl next to the ramekin and place it on the plate,9,True,task_success,203e4b51ca33cdd04c89727d41bfa267c945523a96e45584ce703e278c548219,10,103,10.407615010990412,1,451,True,103,65,64,38,64,0,0,12,91,101,1,108.13214849622454,129.5711485450738,134.7378229984315,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_05,libero_spatial,1,5,pick up the black bowl next to the ramekin and place it on the plate,9,True,task_success,cf34a08ae645eee33dbb9fc8db2039b43ecce9baa8cb9458c8a9f28b6919aafd,10,102,10.223325671002385,1,524,True,102,64,63,37,63,0,0,14,88,100,1,106.4729749923572,129.31784300453728,131.49515699478798,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_06,libero_spatial,1,6,pick up the black bowl next to the ramekin and place it on the plate,9,True,task_success,72fe275650ea9afa6d86e7254288148019b4a39f97373aa7adbdbcb6e2434b1b,10,121,11.170836001998396,1,597,True,121,76,75,44,75,0,0,15,106,120,1,107.28040800313465,130.6708997959504,132.20026000635698,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_07,libero_spatial,1,7,pick up the black bowl next to the ramekin and place it on the plate,9,True,task_success,7fe870bd906abaaa2ab12fd26ae7d1d6b0abc9ad49fe26fa6b4413d898d7feb6,10,115,10.80926148899016,1,670,True,115,72,71,42,71,0,0,16,99,113,1,107.52657199918758,130.0116864949814,132.1012530097505,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_04,libero_spatial,2,4,pick up the black bowl from table center and place it on the plate,9,True,task_success,506e308c3babde82a347c5a23525a687d3c2f59adb5f7e29a9c338ec7abc7fcf,10,100,10.237581368011888,1,743,True,100,63,62,37,62,0,0,13,87,99,1,106.23884899541736,128.0513118050294,132.51258298987523,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_05,libero_spatial,2,5,pick up the black bowl from table center and place it on the plate,9,True,task_success,c6bcd2b35367b0546114f8b92c6acd01a614a1756bd3fa34e775f7414ed13949,10,113,10.8882758589898,1,816,True,113,71,70,42,70,0,0,14,99,112,1,107.02112699800637,130.3941687103361,132.15639999543782,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_06,libero_spatial,2,6,pick up the black bowl from table center and place it on the plate,9,True,task_success,5494ed235f79018a3e3c3747adec758412b5b087cb6ea2fadcb15c7b0a304018,10,106,10.4574267220014,1,889,True,106,66,65,39,65,0,0,13,93,104,1,106.1111409944715,128.40645139222033,132.4020699976245,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_07,libero_spatial,2,7,pick up the black bowl from table center and place it on the plate,9,True,task_success,943a79d96b57e64674272be670d2a3bae2931c8a36caf1f47d3f5a43a70a96ea,10,98,9.95019009700627,1,962,True,98,61,60,36,60,0,0,12,86,96,1,106.41682649293216,130.2854221430607,132.3618550086394,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_003__episode_04,libero_spatial,3,4,pick up the black bowl on the cookie box and place it on the plate,9,True,task_success,a33b8722d1c9c4434a8ac96461fbe20f9159949b23fe3bd857e1a09298f7d775,10,86,9.439268843008904,1,1035,True,86,54,53,32,53,0,0,11,75,84,1,107.0925260137301,128.5585694015026,131.75605300057214,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_003__episode_05,libero_spatial,3,5,pick up the black bowl on the cookie box and place it on the plate,9,True,task_success,6ce86d38f92f1bf2f0ef89eea048e8011e0bd6c9ae3c35b0260cebaf5eb88c02,10,92,9.812347607992706,1,1108,True,92,58,57,34,57,0,0,13,79,91,1,108.95798000274226,129.92417520144954,131.6356530005578,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_003__episode_06,libero_spatial,3,6,pick up the black bowl on the cookie box and place it on the plate,9,True,task_success,86af305f0ec297b199dbb697ea3e12948075420b1cf45dcab5f6d3ec551a46a7,10,90,9.616796960006468,1,1181,True,90,56,55,33,55,0,0,11,79,88,1,106.84837499866262,129.86304039513925,136.00692299951334,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_003__episode_07,libero_spatial,3,7,pick up the black bowl on the cookie box and place it on the plate,9,True,task_success,cb83556da2a5d5fd5b2c403a3ff9124bc769daac6f02152f1115c4298e4af6ec,10,92,9.752763985001366,1,1254,True,92,57,56,34,56,0,0,13,79,90,1,106.66112999751931,131.10894725105027,136.88878300308716,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_004__episode_04,libero_spatial,4,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,9,True,task_success,849063999c0410fd1fd9bcd5c25333195faf1a19fccc6fa55a3dc047f3e2524d,10,134,11.968214125008672,1,1327,True,134,84,83,49,83,0,0,14,120,133,1,106.40469398640562,130.07853870803956,137.3314389929874,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_004__episode_05,libero_spatial,4,5,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,9,True,task_success,9d27e8547f5f08d749e813810ea5fbcabfda762c07d2bc8a75a79a50e1685994,10,137,12.02126520499587,1,1400,True,137,86,85,51,85,0,0,19,118,136,1,108.16776599676814,132.32516919088084,134.31855400267523,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_004__episode_06,libero_spatial,4,6,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,9,True,task_success,e7d1ddf7761004e49510ab9f3970bf3a7457817bfb57163af33101d940780fdc,10,142,12.243270801001927,1,1473,True,142,89,88,53,88,0,0,19,123,139,1,107.67720199510222,129.49513920248137,132.2093320050044,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_004__episode_07,libero_spatial,4,7,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,9,True,task_success,67b22b8c1c7d85c1e3cc7c5e37ef57eaec6fb80f1d8ee66eb6a7b883464fbd0a,10,128,11.539408317999914,1,1546,True,128,80,79,47,79,0,0,15,113,126,1,106.18196699942928,129.1392579980311,132.19715299783275,
