schema_version,episode_id,task_suite,task_id,episode_index,task_description,seed,task_success,termination_reason,initial_state_sha256,stabilization_steps,task_steps,wall_time_s,parent_process_id,worker_process_id,worker_stopped,submitted_requests,started_requests,completed_requests,superseded_requests,accepted_responses,failed_responses,deadline_exceeded_responses,hold_ticks,execute_ticks,ticks_during_inference,tick_overruns,response_age_p50_ms,response_age_p95_ms,response_age_max_ms,video_path
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_00,libero_spatial,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,7,True,task_success,a6db032a71041791fbc1abf677d4c70813c24c8a608bd77e606c5a5516596950,10,131,16.811408370005665,52,139,True,131,82,81,48,81,0,0,16,115,128,1,108.45304800022859,131.05816000461346,132.67468699632445,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_01,libero_spatial,0,1,pick up the black bowl between the plate and the ramekin and place it on the plate,7,True,task_success,278492f91da9db900616fd988bf35ccda53896ced8ca433dde3c9dca18d55de9,10,110,10.63356707800267,52,212,True,110,69,68,41,68,0,0,16,94,107,1,109.56643600366078,131.60855830028595,132.6753050016123,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_02,libero_spatial,0,2,pick up the black bowl between the plate and the ramekin and place it on the plate,7,True,task_success,20f215103be3d40a8066c4fe6a5727b31615f0f5a55f47833491be03c044366f,10,80,9.331179720000364,52,285,True,80,50,49,30,49,0,0,13,67,78,1,107.64603900315706,130.7874428006471,133.2177939984831,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_03,libero_spatial,0,3,pick up the black bowl between the plate and the ramekin and place it on the plate,7,True,task_success,0176a3eb1aa0f7bb2c7001f24df4a9609a9add18cdab1ef13d1ce18c54beeb40,10,71,8.857121196997468,52,358,True,71,45,44,26,44,0,0,8,63,70,1,105.95538500274415,128.17288894839294,130.24098699679598,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_00,libero_spatial,1,0,pick up the black bowl next to the ramekin and place it on the plate,7,True,task_success,37dfcc9def4feae74fa2bb09d7c2338ca4f501463c28d175e25a3119d01eebaf,10,118,11.21728143299697,52,431,True,118,73,72,44,72,0,0,17,101,115,1,107.42527399634128,130.5643544492341,137.37443800346227,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_01,libero_spatial,1,1,pick up the black bowl next to the ramekin and place it on the plate,7,True,task_success,038481525d636074482f6eb1fdd54e0b4b62a0232875c77184fc78f436de04c7,10,116,11.11167550800019,52,504,True,116,72,71,43,71,0,0,17,99,114,1,106.86265899857972,128.87879600384622,132.1236139992834,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_02,libero_spatial,1,2,pick up the black bowl next to the ramekin and place it on the plate,7,True,task_success,22cdb509a45b0215507677e484316bdbadede454c5430d32bdae9814697eed74,10,107,10.517742571006238,52,577,True,107,67,66,39,66,0,0,12,95,105,1,107.28393950194004,129.16953950116294,130.57272900186945,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_03,libero_spatial,1,3,pick up the black bowl next to the ramekin and place it on the plate,7,True,task_success,c3293281c61471554a1ffa63ff56fb493c61e5fa5d46e84e054c8f0b5d602651,10,108,10.723953477005125,52,650,True,108,67,66,40,66,0,0,16,92,104,1,110.2681680022215,131.71930750104366,132.37359699996887,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_00,libero_spatial,2,0,pick up the black bowl from table center and place it on the plate,7,True,task_success,149d26b8f163da15e9580b76568baf6effd9a55e60ab407c53aa01ee3a8223b7,10,127,11.433423964997928,52,723,True,127,79,78,47,78,0,0,16,111,123,1,107.32211850336171,129.95835899491794,132.79776700073853,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_01,libero_spatial,2,1,pick up the black bowl from table center and place it on the plate,7,True,task_success,10dff1a03dc73d7a05d9ea0670467a3d4936ec49dc8b8af0df964109940911ed,10,108,10.514045854994038,52,796,True,108,67,66,40,66,0,0,15,93,104,1,108.64898699946934,130.74263724593038,132.75527299992973,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_02,libero_spatial,2,2,pick up the black bowl from table center and place it on the plate,7,True,task_success,4b393f46412fdced9fdd925e55dddda291b1ba09f5d062d4a63032d43492c003,10,101,10.410359968998819,52,869,True,101,63,62,37,62,0,0,15,86,99,1,106.2054980029643,128.82163539907197,131.91946299775736,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_03,libero_spatial,2,3,pick up the black bowl from table center and place it on the plate,7,True,task_success,d67e69d4f8823bbe8f4e01bbf2aea7eb3a46eb112554106f71dd6b1c953ae6b7,10,103,10.318159598995408,52,942,True,103,64,63,38,63,0,0,15,88,99,1,110.52081500383792,131.8502526031807,133.67699999798788,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_003__episode_00,libero_spatial,3,0,pick up the black bowl on the cookie box and place it on the plate,7,True,task_success,63e3f2e0b980d79c6d974bb7d9d537d1997a100670f27bbff2946a11cfa0b635,10,94,10.088087013005861,52,1015,True,94,59,58,35,58,0,0,13,81,92,1,105.52304800148704,127.46085194776242,131.82015599886654,
