schema_version,episode_id,task_suite,task_id,episode_index,task_description,seed,task_success,termination_reason,initial_state_sha256,stabilization_steps,task_steps,wall_time_s,parent_process_id,worker_process_id,worker_stopped,submitted_requests,started_requests,completed_requests,superseded_requests,accepted_responses,failed_responses,deadline_exceeded_responses,hold_ticks,execute_ticks,ticks_during_inference,tick_overruns,response_age_p50_ms,response_age_p95_ms,response_age_max_ms,video_path
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_04,libero_spatial,0,4,pick up the black bowl between the plate and the ramekin and place it on the plate,8,False,max_ticks,e028ab4976791a4c402249a77b5b09b44549d6a65acd8f629d9a61c45f049c6b,10,220,20.8813450979942,1,159,True,220,138,137,82,137,0,0,27,193,219,1,107.48474599677138,130.37313020031434,132.34564699814655,videos/libero_spatial__task_000__episode_04.mp4
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_05,libero_spatial,0,5,pick up the black bowl between the plate and the ramekin and place it on the plate,8,True,task_success,a02a6f3f78646a8aebf5c7f992587f813845a963ea2937c77e76b0e7c559ed60,10,133,11.876199655991513,1,323,True,133,84,83,49,83,0,0,17,116,130,1,107.30489699926693,130.06141610239865,132.6488399936352,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_06,libero_spatial,0,6,pick up the black bowl between the plate and the ramekin and place it on the plate,8,True,task_success,13cefaeb7cbe5564bb1420fe55fbde3b8a60a9d382517639b05ad247fce3044d,10,100,10.132583252998302,1,396,True,100,63,62,37,62,0,0,14,86,98,1,106.97291249380214,129.23149614216527,131.4388559985673,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_07,libero_spatial,0,7,pick up the black bowl between the plate and the ramekin and place it on the plate,8,False,max_ticks,2f10b6cf2b4012897a30a4696147807976c704627578a527b88a53474db0fe23,10,220,16.088875710993307,1,469,True,220,137,136,82,136,0,0,30,190,217,1,107.45374699763488,129.81392675283132,132.85916901077144,videos/libero_spatial__task_000__episode_07.mp4
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_04,libero_spatial,1,4,pick up the black bowl next to the ramekin and place it on the plate,8,True,task_success,203e4b51ca33cdd04c89727d41bfa267c945523a96e45584ce703e278c548219,10,136,11.967698185006157,1,586,True,136,85,84,51,84,0,0,20,116,134,1,109.70289800025057,130.71358504676027,134.24587099871133,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_05,libero_spatial,1,5,pick up the black bowl next to the ramekin and place it on the plate,8,True,task_success,cf34a08ae645eee33dbb9fc8db2039b43ecce9baa8cb9458c8a9f28b6919aafd,10,137,12.288849214994116,1,659,True,137,85,84,51,84,0,0,19,118,134,1,106.4585284984787,130.6970916033606,132.92841200018302,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_06,libero_spatial,1,6,pick up the black bowl next to the ramekin and place it on the plate,8,True,task_success,72fe275650ea9afa6d86e7254288148019b4a39f97373aa7adbdbcb6e2434b1b,10,202,15.210952214998542,1,732,True,202,126,125,75,125,0,0,25,177,198,1,107.7978530083783,130.33366939635016,132.65948399202898,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_07,libero_spatial,1,7,pick up the black bowl next to the ramekin and place it on the plate,8,False,max_ticks,7fe870bd906abaaa2ab12fd26ae7d1d6b0abc9ad49fe26fa6b4413d898d7feb6,10,220,16.319460188999074,1,805,True,220,137,136,82,136,0,0,30,190,218,1,106.81772750103846,130.19051325318287,132.39397799770813,videos/libero_spatial__task_001__episode_07.mp4
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_04,libero_spatial,2,4,pick up the black bowl from table center and place it on the plate,8,True,task_success,506e308c3babde82a347c5a23525a687d3c2f59adb5f7e29a9c338ec7abc7fcf,10,142,12.5931405149895,1,922,True,142,89,88,53,88,0,0,19,123,140,1,109.25768650486134,131.18514210073045,133.55976300954353,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_05,libero_spatial,2,5,pick up the black bowl from table center and place it on the plate,8,True,task_success,c6bcd2b35367b0546114f8b92c6acd01a614a1756bd3fa34e775f7414ed13949,10,151,12.960562124993885,1,995,True,151,94,93,56,93,0,0,21,130,149,1,109.17843900097068,131.96382819733117,134.74777700321283,
