schema_version,episode_id,task_suite,task_id,episode_index,task_description,seed,task_success,termination_reason,initial_state_sha256,stabilization_steps,task_steps,wall_time_s,parent_process_id,worker_process_id,worker_stopped,submitted_requests,started_requests,completed_requests,superseded_requests,accepted_responses,failed_responses,deadline_exceeded_responses,hold_ticks,execute_ticks,ticks_during_inference,tick_overruns,response_age_p50_ms,response_age_p95_ms,response_age_max_ms,video_path
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_00,libero_spatial,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,9,True,task_success,a6db032a71041791fbc1abf677d4c70813c24c8a608bd77e606c5a5516596950,10,105,15.546708523994312,1,158,True,105,66,65,39,65,0,0,15,90,103,1,108.15354299847968,129.62231299898122,131.3798330083955,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_01,libero_spatial,0,1,pick up the black bowl between the plate and the ramekin and place it on the plate,9,True,task_success,278492f91da9db900616fd988bf35ccda53896ced8ca433dde3c9dca18d55de9,10,110,10.713174324991996,1,231,True,110,69,68,40,68,0,0,15,95,107,1,107.06405849487055,130.00703129873727,132.10461899871007,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_02,libero_spatial,0,2,pick up the black bowl between the plate and the ramekin and place it on the plate,9,True,task_success,20f215103be3d40a8066c4fe6a5727b31615f0f5a55f47833491be03c044366f,10,103,10.54167032300029,1,304,True,103,64,63,38,63,0,0,14,89,101,1,105.39630800485611,127.47684170608409,134.75567400746513,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_03,libero_spatial,0,3,pick up the black bowl between the plate and the ramekin and place it on the plate,9,True,task_success,0176a3eb1aa0f7bb2c7001f24df4a9609a9add18cdab1ef13d1ce18c54beeb40,10,69,8.676493513994501,1,377,True,69,43,42,25,42,0,0,11,58,67,1,109.06149800575804,129.75177059415728,131.55422800628003,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_00,libero_spatial,1,0,pick up the black bowl next to the ramekin and place it on the plate,9,True,task_success,37dfcc9def4feae74fa2bb09d7c2338ca4f501463c28d175e25a3119d01eebaf,10,118,11.323739774001297,1,450,True,118,74,73,44,73,0,0,16,102,116,1,106.8583390006097,129.38258379872423,132.30821999604814,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_01,libero_spatial,1,1,pick up the black bowl next to the ramekin and place it on the plate,9,True,task_success,038481525d636074482f6eb1fdd54e0b4b62a0232875c77184fc78f436de04c7,10,109,10.880612287000986,1,523,True,109,68,67,41,67,0,0,17,92,107,1,106.50486599479336,127.81952339573763,135.45556299504824,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_02,libero_spatial,1,2,pick up the black bowl next to the ramekin and place it on the plate,9,True,task_success,22cdb509a45b0215507677e484316bdbadede454c5430d32bdae9814697eed74,10,101,10.432683507999172,1,596,True,101,63,62,37,62,0,0,13,88,98,1,108.26420749799581,130.3176847533905,131.03609600511845,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_03,libero_spatial,1,3,pick up the black bowl next to the ramekin and place it on the plate,9,True,task_success,c3293281c61471554a1ffa63ff56fb493c61e5fa5d46e84e054c8f0b5d602651,10,110,10.89893386499898,1,669,True,110,69,68,40,68,0,0,15,95,108,1,107.44248399714706,130.1639822537254,132.76164699345827,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_00,libero_spatial,2,0,pick up the black bowl from table center and place it on the plate,9,True,task_success,149d26b8f163da15e9580b76568baf6effd9a55e60ab407c53aa01ee3a8223b7,10,120,11.407953190006083,1,742,True,120,75,74,44,74,0,0,14,106,118,1,106.02648300118744,128.71061114929034,130.36814700171817,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_01,libero_spatial,2,1,pick up the black bowl from table center and place it on the plate,9,True,task_success,10dff1a03dc73d7a05d9ea0670467a3d4936ec49dc8b8af0df964109940911ed,10,104,10.580670898998505,1,815,True,104,65,64,38,64,0,0,14,90,101,1,107.78793649660656,129.64821415080223,132.92992899368983,
