schema_version,episode_id,pair_id,condition_order,task_suite,task_id,episode_index,task_description,mode,replan_steps,latency_steps,injected_latency_ms,fixed_refresh_interval,seed,success,termination_reason,initial_state_sha256,environment_steps,task_action_steps,latency_action_steps,policy_queries,accepted_chunks,rejected_chunks,stale_chunks_executed,stale_action_steps,interventions,inference_latency_p50_ms,inference_latency_p95_ms,policy_inference_latency_p50_ms,policy_inference_latency_p95_ms,server_inference_latency_p50_ms,server_inference_latency_p95_ms,wall_time_s,failure_category,failure_type,failure_message,video_required,video_path,video_error_type,video_error_message
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_045__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_045/h_05/l_004,0,libero_spatial,0,45,pick up the black bowl between the plate and the ramekin and place it on the plate,async_unguarded,5,4,200.0,,7,False,step_limit,f8073013684b929fde81b6e077ccbd83a0f52cd408d4cf6e02131cf8dedba0f1,230,120,100,25,24,0,24,120,0,82.27179700043052,85.88509280161816,58.18067899963353,58.46219739760272,81.19851800074684,84.65519040109939,33.20587390599758,,,,True,videos/libero_spatial__task_000__episode_045__h_05__l_004__async_unguarded__failure.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_045__h_05__l_004__state_guard,libero_spatial/task_000/episode_045/h_05/l_004,1,libero_spatial,0,45,pick up the black bowl between the plate and the ramekin and place it on the plate,state_guard,5,4,200.0,,7,False,max_requeries_exceeded,f8073013684b929fde81b6e077ccbd83a0f52cd408d4cf6e02131cf8dedba0f1,151,45,96,24,9,15,9,45,15,80.74525150004774,83.40368064727954,57.9513014999975,58.24004354944918,79.73932449931453,82.45087304876506,6.9254061589999765,,,,True,videos/libero_spatial__task_000__episode_045__h_05__l_004__state_guard__failure.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_046__h_05__l_004__state_guard,libero_spatial/task_000/episode_046/h_05/l_004,2,libero_spatial,0,46,pick up the black bowl between the plate and the ramekin and place it on the plate,state_guard,5,4,200.0,,7,True,success_during_inference_delay,f24b3598015d657d8156a67dd4d21e2f50206ba9f93b39ea3e877eba18acb3c3,140,45,85,22,9,12,9,45,12,81.13078699898324,83.1933151011981,57.96197050040064,58.270182800333714,80.32001599895011,81.93450399885478,6.64892461600175,,,,True,videos/libero_spatial__task_000__episode_046__h_05__l_004__state_guard__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_046__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_046/h_05/l_004,3,libero_spatial,0,46,pick up the black bowl between the plate and the ramekin and place it on the plate,async_unguarded,5,4,200.0,,7,True,task_success,f24b3598015d657d8156a67dd4d21e2f50206ba9f93b39ea3e877eba18acb3c3,214,112,92,23,23,0,23,112,0,82.21473099911236,84.9829567992856,58.16609999965294,58.37616849930782,81.21265500085428,83.71202369817183,9.106993973000499,,,,True,videos/libero_spatial__task_000__episode_046__h_05__l_004__async_unguarded__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_001__episode_045__h_05__l_004__async_unguarded,libero_spatial/task_001/episode_045/h_05/l_004,4,libero_spatial,1,45,pick up the black bowl next to the ramekin and place it on the plate,async_unguarded,5,4,200.0,,7,True,success_during_inference_delay,d3083e58d065fff545936e28e1c0daa8d1a085f77d16fa7fd142f470a569830f,219,115,94,24,23,0,23,115,0,81.36992899926554,83.70370410120813,58.13251249855966,58.36938415122859,80.4774924999947,82.5078930998643,8.7499788669993,,,,True,videos/libero_spatial__task_001__episode_045__h_05__l_004__async_unguarded__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_001__episode_045__h_05__l_004__state_guard,libero_spatial/task_001/episode_045/h_05/l_004,5,libero_spatial,1,45,pick up the black bowl next to the ramekin and place it on the plate,state_guard,5,4,200.0,,7,False,max_requeries_exceeded,d3083e58d065fff545936e28e1c0daa8d1a085f77d16fa7fd142f470a569830f,95,25,60,15,5,10,5,25,10,79.02209000167204,84.93162759987172,55.94903600285761,58.745201401325176,78.23474700126098,83.75969990120211,4.752533775001211,,,,True,videos/libero_spatial__task_001__episode_045__h_05__l_004__state_guard__failure.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_001__episode_046__h_05__l_004__state_guard,libero_spatial/task_001/episode_046/h_05/l_004,6,libero_spatial,1,46,pick up the black bowl next to the ramekin and place it on the plate,state_guard,5,4,200.0,,7,False,step_limit,981c535ead11696cd1c4ab4322217dbe79036fa4075bffdb5ce69c91bb67b1ee,230,80,140,35,16,19,16,80,19,79.96038800047245,83.12462780122587,56.011771001067245,58.12935319809185,79.07000100021833,81.84091290058859,9.768759307000437,,,,True,videos/libero_spatial__task_001__episode_046__h_05__l_004__state_guard__failure.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_001__episode_046__h_05__l_004__async_unguarded,libero_spatial/task_001/episode_046/h_05/l_004,7,libero_spatial,1,46,pick up the black bowl next to the ramekin and place it on the plate,async_unguarded,5,4,200.0,,7,False,step_limit,981c535ead11696cd1c4ab4322217dbe79036fa4075bffdb5ce69c91bb67b1ee,230,120,100,25,24,0,24,120,0,82.48290300252847,84.91823540025507,58.212755000567995,58.34408040100243,81.40078199721756,83.45035560050746,9.590170643998135,,,,True,videos/libero_spatial__task_001__episode_046__h_05__l_004__async_unguarded__failure.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_002__episode_045__h_05__l_004__async_unguarded,libero_spatial/task_002/episode_045/h_05/l_004,8,libero_spatial,2,45,pick up the black bowl from table center and place it on the plate,async_unguarded,5,4,200.0,,7,True,task_success,213fec0eedbdeee70b2d90fb1dabaa8638cee353639fc96d754d1afa3f32a23d,154,80,64,16,16,0,16,80,0,82.17910249913984,83.43165474980196,58.07190649829863,58.287954249863105,81.23386399893207,82.4149967475023,6.753129828000965,,,,True,videos/libero_spatial__task_002__episode_045__h_05__l_004__async_unguarded__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_002__episode_045__h_05__l_004__state_guard,libero_spatial/task_002/episode_045/h_05/l_004,9,libero_spatial,2,45,pick up the black bowl from table center and place it on the plate,state_guard,5,4,200.0,,7,False,max_requeries_exceeded,213fec0eedbdeee70b2d90fb1dabaa8638cee353639fc96d754d1afa3f32a23d,173,55,108,27,11,16,11,55,16,80.56567699895822,83.0200655014778,56.17399699985981,58.119474300474394,79.75410800281679,82.05474679925828,7.566779534998204,,,,True,videos/libero_spatial__task_002__episode_045__h_05__l_004__state_guard__failure.mp4,,
