schema_version,episode_id,task_suite,task_id,episode_index,task_description,seed,task_success,termination_reason,initial_state_sha256,stabilization_steps,task_steps,wall_time_s,parent_process_id,worker_process_id,worker_stopped,submitted_requests,started_requests,completed_requests,superseded_requests,accepted_responses,failed_responses,deadline_exceeded_responses,hold_ticks,execute_ticks,ticks_during_inference,tick_overruns,response_age_p50_ms,response_age_p95_ms,response_age_max_ms,video_path
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_00,libero_spatial,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,7,True,task_success,a6db032a71041791fbc1abf677d4c70813c24c8a608bd77e606c5a5516596950,10,105,15.540195223999035,52,159,True,105,65,64,39,64,0,0,16,89,103,1,109.67180650186492,131.83329580097052,133.28438300231937,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_01,libero_spatial,0,1,pick up the black bowl between the plate and the ramekin and place it on the plate,7,True,task_success,278492f91da9db900616fd988bf35ccda53896ced8ca433dde3c9dca18d55de9,10,110,10.705442474994925,52,232,True,110,69,68,40,68,0,0,14,96,108,1,107.14592150179669,128.58877490034502,130.75540700083366,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_02,libero_spatial,0,2,pick up the black bowl between the plate and the ramekin and place it on the plate,7,True,task_success,20f215103be3d40a8066c4fe6a5727b31615f0f5a55f47833491be03c044366f,10,80,9.358452972999658,52,305,True,80,50,49,29,49,0,0,11,69,78,1,106.5405080007622,130.44276220171014,132.00541499827523,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_03,libero_spatial,0,3,pick up the black bowl between the plate and the ramekin and place it on the plate,7,True,task_success,0176a3eb1aa0f7bb2c7001f24df4a9609a9add18cdab1ef13d1ce18c54beeb40,10,71,8.985862341003667,52,378,True,71,44,43,26,43,0,0,10,61,68,1,106.90723999869078,128.1682652021118,129.60159900103463,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_00,libero_spatial,1,0,pick up the black bowl next to the ramekin and place it on the plate,7,True,task_success,37dfcc9def4feae74fa2bb09d7c2338ca4f501463c28d175e25a3119d01eebaf,10,114,11.112339931998577,52,451,True,114,71,70,42,70,0,0,15,99,112,1,104.98370700588566,126.91006449822453,132.2322459964198,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_01,libero_spatial,1,1,pick up the black bowl next to the ramekin and place it on the plate,7,True,task_success,038481525d636074482f6eb1fdd54e0b4b62a0232875c77184fc78f436de04c7,10,107,10.7738764550013,52,524,True,107,67,66,40,66,0,0,15,92,105,1,108.3418444977724,130.50240324628248,136.75378300104057,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_02,libero_spatial,1,2,pick up the black bowl next to the ramekin and place it on the plate,7,True,task_success,22cdb509a45b0215507677e484316bdbadede454c5430d32bdae9814697eed74,10,106,10.52978277800139,52,597,True,106,66,65,39,65,0,0,16,90,104,1,109.06088699994143,129.36189580068458,132.53873700159602,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_03,libero_spatial,1,3,pick up the black bowl next to the ramekin and place it on the plate,7,True,task_success,c3293281c61471554a1ffa63ff56fb493c61e5fa5d46e84e054c8f0b5d602651,10,112,11.054573088993493,52,670,True,112,70,69,42,69,0,0,15,97,111,1,108.13269900245359,130.96150199853582,132.83123899600469,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_00,libero_spatial,2,0,pick up the black bowl from table center and place it on the plate,7,True,task_success,149d26b8f163da15e9580b76568baf6effd9a55e60ab407c53aa01ee3a8223b7,10,127,11.73276090399304,52,743,True,127,79,78,47,78,0,0,17,110,123,1,108.09178950512432,129.89871010249772,134.0860570053337,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_01,libero_spatial,2,1,pick up the black bowl from table center and place it on the plate,7,True,task_success,10dff1a03dc73d7a05d9ea0670467a3d4936ec49dc8b8af0df964109940911ed,10,107,10.767226073003258,52,816,True,107,67,66,39,66,0,0,15,92,103,1,108.54875449877,129.35728899901733,132.20708800508874,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_02,libero_spatial,2,2,pick up the black bowl from table center and place it on the plate,7,True,task_success,4b393f46412fdced9fdd925e55dddda291b1ba09f5d062d4a63032d43492c003,10,100,10.353736750003009,52,889,True,100,62,61,37,61,0,0,15,85,98,1,106.40432699437952,127.52940100472188,129.9749019963201,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_03,libero_spatial,2,3,pick up the black bowl from table center and place it on the plate,7,True,task_success,d67e69d4f8823bbe8f4e01bbf2aea7eb3a46eb112554106f71dd6b1c953ae6b7,10,104,10.612240023001505,52,962,True,104,65,64,39,64,0,0,16,88,102,1,109.48118050509947,131.85078160022385,133.1077990034828,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_003__episode_00,libero_spatial,3,0,pick up the black bowl on the cookie box and place it on the plate,7,True,task_success,63e3f2e0b980d79c6d974bb7d9d537d1997a100670f27bbff2946a11cfa0b635,10,101,10.302629485995567,52,1035,True,101,63,62,38,62,0,0,16,85,100,1,107.05579949717503,130.69266245183826,141.36032199894544,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_003__episode_01,libero_spatial,3,1,pick up the black bowl on the cookie box and place it on the plate,7,True,task_success,1389df4eaca7a1a74b8dd5364347e0d749d1bed10a58143e39be03fc0ab82f41,10,83,9.339224802999524,52,1108,True,83,52,51,31,51,0,0,11,72,82,1,104.51028499664972,125.79605299833929,132.9452640056843,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_003__episode_02,libero_spatial,3,2,pick up the black bowl on the cookie box and place it on the plate,7,True,task_success,7e46eb0926b19da8520a12aa89a2137d9e4603b4a97ec83da200dc73c63f9dfb,10,86,9.494882230996154,52,1181,True,86,54,53,32,53,0,0,13,73,83,1,106.47312699438771,128.45544919982785,133.47816999885254,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_003__episode_03,libero_spatial,3,3,pick up the black bowl on the cookie box and place it on the plate,7,True,task_success,a93982cfb7190095b7b03108be7ca4828a77f649509bde23d7bc535c91a75189,10,87,9.580755884999235,52,1254,True,87,54,53,32,53,0,0,13,74,85,1,106.55323800165206,130.52268199971877,133.66338700143388,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_004__episode_00,libero_spatial,4,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,7,False,max_ticks,1bec82314760dc1015377b8cebf3627af0020e1c7ce928989a7d6fdc8679649a,10,220,16.47671902000002,52,1327,True,220,138,137,82,137,0,0,28,192,218,1,108.80739799904404,130.55511820421088,132.61099599912995,videos/libero_spatial__task_004__episode_00.mp4
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_004__episode_01,libero_spatial,4,1,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,7,True,task_success,edb02423af27fd85edc08731a8438e5f3de8dd2454592461a4a8824a3c2db194,10,140,12.580108520000067,52,1491,True,140,88,87,51,87,0,0,16,124,138,1,106.88703799678478,129.04270690123667,130.58117600303376,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_004__episode_02,libero_spatial,4,2,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,7,False,max_ticks,f8a2dbb1a987b5a79f5a64914ea62ff0563800c668fbe3e3e8bc5bfc0598a5de,10,220,16.534122598000977,52,1564,True,220,138,137,81,137,0,0,24,196,217,1,105.87022400432033,128.76300680072745,131.86546900396934,videos/libero_spatial__task_004__episode_02.mp4
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_004__episode_03,libero_spatial,4,3,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,7,True,task_success,3376a8bfa399d19ecfe12c62fee6d899c23250492d93f90ceb0cdbb97da750da,10,140,12.547609044006094,52,1681,True,140,88,87,51,87,0,0,16,124,138,1,106.32551700109616,129.60216719875461,131.41578599606873,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_005__episode_00,libero_spatial,5,0,pick up the black bowl on the ramekin and place it on the plate,7,True,task_success,50a2e023070589c05828b0773b9013c33931872a1128e2a5498b6d5c9a6199d9,10,104,10.643730224001047,52,1754,True,104,65,64,38,64,0,0,14,90,101,1,107.24672799551627,129.13202039926546,132.89232299575815,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_005__episode_01,libero_spatial,5,1,pick up the black bowl on the ramekin and place it on the plate,7,True,task_success,dc873b54c357efc1331f6ec3ecc0218451cfca3758a2c587bbcba01e3a152536,10,92,10.078321603999939,52,1827,True,92,58,57,34,57,0,0,13,79,91,1,107.4067970039323,129.53777920047287,131.2456950035994,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_005__episode_02,libero_spatial,5,2,pick up the black bowl on the ramekin and place it on the plate,7,True,task_success,a8b8f9f353f8b0e6050c30ba844bc798b303638b4a60c260572e5fdac41b41a8,10,99,10.453948527996545,52,1900,True,99,62,61,37,61,0,0,15,84,97,1,107.09544899873435,129.8294279986294,134.32188700244296,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_005__episode_03,libero_spatial,5,3,pick up the black bowl on the ramekin and place it on the plate,7,True,task_success,0607397f0777d5b0fc1045bd5156a98ae198d412ac53cd431cb8a6ead267714f,10,94,10.172660031006671,52,1973,True,94,59,58,34,58,0,0,12,82,91,1,107.63699500239454,130.34028059882985,131.64535000396427,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_006__episode_00,libero_spatial,6,0,pick up the black bowl next to the cookie box and place it on the plate,7,True,task_success,abd69b1a920e17fb71eb569ca0c4a65e9f2bd1d53a2afdc7534c5829689e8976,10,114,11.221341340002255,52,2046,True,114,71,70,42,70,0,0,16,98,112,1,106.77228799977456,129.154396451122,132.31269599782536,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_006__episode_01,libero_spatial,6,1,pick up the black bowl next to the cookie box and place it on the plate,7,True,task_success,c842084163bd41b0a713c483747fa948aa5cbdb179efa78042fb1b530996025e,10,112,10.838261208002223,52,2119,True,112,70,69,42,69,0,0,16,96,111,1,107.46724600176094,128.37443359894678,131.3592630031053,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_006__episode_02,libero_spatial,6,2,pick up the black bowl next to the cookie box and place it on the plate,7,True,task_success,91e00da57baa3c81ba77261da1baa91030084e484fee9dc871f43bccde2503e8,10,103,10.356331062997924,52,2192,True,103,64,63,39,63,0,0,16,87,102,1,107.98138700192794,130.02522279784898,133.19851200503763,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_006__episode_03,libero_spatial,6,3,pick up the black bowl next to the cookie box and place it on the plate,7,True,task_success,9f9d1b0dc2f8b5271791b133c2598d77d00899cbbd3665106a192c103f17dfa4,10,124,11.575101192000147,52,2265,True,124,78,77,46,77,0,0,11,113,123,1,104.6860589995049,131.78243220463628,133.84947000304237,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_007__episode_00,libero_spatial,7,0,pick up the black bowl on the stove and place it on the plate,7,True,task_success,434eed2fc53c989bc732027e2f84ef9a6778a61afb39de34cda24d1f159d8a09,10,119,11.161608073001844,52,2338,True,119,74,73,44,73,0,0,16,103,118,1,107.226644999173,129.91764399776002,132.12711400410626,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_007__episode_01,libero_spatial,7,1,pick up the black bowl on the stove and place it on the plate,7,True,task_success,0faab8f1d5121884a8c839fc59a5111100899ae4005d45dd1692d6889126a437,10,119,11.157353695001802,52,2411,True,119,74,73,44,73,0,0,18,101,117,1,108.56237899861299,131.05729520175373,134.66507199336775,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_007__episode_02,libero_spatial,7,2,pick up the black bowl on the stove and place it on the plate,7,True,task_success,1c1703245f40c6b33d019ca7408d7e7ddbe6c929ab00fbbd8b001573c307fb8e,10,123,11.579483724002785,52,2484,True,123,77,76,45,76,0,0,15,108,121,1,105.86752550443634,127.95516299956944,132.42169300065143,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_007__episode_03,libero_spatial,7,3,pick up the black bowl on the stove and place it on the plate,7,True,task_success,857cbb6e90ecc8f7d8773af7528861af19feae2fe2b95c6bd3e495e1773a4bd2,10,124,11.385845225995581,52,2557,True,124,77,76,46,76,0,0,17,107,122,1,108.88841449923348,130.8831080023083,132.88961299986113,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_008__episode_00,libero_spatial,8,0,pick up the black bowl next to the plate and place it on the plate,7,True,task_success,8068d59b815876257802ab742fa4e2de6d71c6a586bd9f7caaa9c9b5e1aad674,10,100,10.380212543001107,52,2630,True,100,62,61,37,61,0,0,13,87,98,1,106.12357400532346,128.52450599893928,132.08417300484143,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_008__episode_01,libero_spatial,8,1,pick up the black bowl next to the plate and place it on the plate,7,True,task_success,ed054032f78e93494c20371c266b52960e374ca559b40fbcf24df71a2ca391ee,10,102,10.33527627500007,52,2703,True,102,64,63,38,63,0,0,15,87,101,1,107.15193899523001,131.1163845959527,134.2023489996791,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_008__episode_02,libero_spatial,8,2,pick up the black bowl next to the plate and place it on the plate,7,True,task_success,7e5d80cb2ef2a04819cf711ea4093a99a75179bfa3289cf1a4435f7a287cabf0,10,97,9.995058966997021,52,2776,True,97,61,60,35,60,0,0,11,86,94,1,106.07701200206066,129.60742524919624,131.15596900024684,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_008__episode_03,libero_spatial,8,3,pick up the black bowl next to the plate and place it on the plate,7,True,task_success,d0850595f3599813c7b8115cae0a0609312166bbe02c894e1acc2ef2c81c7931,10,91,9.695676912997442,52,2849,True,91,57,56,33,56,0,0,13,78,88,1,106.08989149841364,129.02608174772467,133.1022530066548,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_009__episode_00,libero_spatial,9,0,pick up the black bowl on the wooden cabinet and place it on the plate,7,True,task_success,c9cd63e8db66b8120a7182b36e737fa1631ce55c0e651422ce519134e8e94213,10,149,12.815792385008535,52,2922,True,149,93,92,56,92,0,0,22,127,148,1,110.13406200072495,131.32624800127815,132.69407099869568,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_009__episode_01,libero_spatial,9,1,pick up the black bowl on the wooden cabinet and place it on the plate,7,True,task_success,07e7a6ab6a094320d90515beb1de90b6c7675ed513a4d70964147a87a95f455b,10,128,11.663398876000429,52,2995,True,128,80,79,47,79,0,0,17,111,126,1,110.06706800253596,131.27174470137106,134.4524819869548,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_009__episode_02,libero_spatial,9,2,pick up the black bowl on the wooden cabinet and place it on the plate,7,True,task_success,d26c51e14ff5ff4dbc02c53a8322518e1775bfe2bccc29a6027dc46899e24fff,10,119,11.356121177013847,52,3068,True,119,74,73,44,73,0,0,15,104,116,1,104.85351399984211,130.4094029997941,133.75194699619897,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_009__episode_03,libero_spatial,9,3,pick up the black bowl on the wooden cabinet and place it on the plate,7,True,task_success,d3122b08833be2a4b7d24aa8fda9735807b4bfcf35a95311addbd17fdf9cca60,10,122,11.374430401003337,52,3141,True,122,76,75,45,75,0,0,16,106,119,1,106.68045900820289,128.95684080867795,133.60466099402402,
