case_id,trajectory_index,selection_index,source_row_index,task_suite,task_id,method,pair_id,episode_id,episode_index,query_index,scenario,response_action_sha256,inference_latency_ms,response_deadline_exceeded,input_clipped_steps,raw_path_safe,legacy_safe_after_guard,legacy_path_safe,legacy_unsafe_raw_steps,legacy_intervention_steps,legacy_hold_steps,legacy_acceleration_override_steps,legacy_max_acceleration_rad_s2,legacy_guard_latency_ms,repair_safe_after_guard,repair_path_safe,repair_terminal_path_safe,repair_selected_scale,repair_terminal_brake_steps,repair_intervention_steps,repair_max_acceleration_rad_s2,repair_selection_deadline_exceeded,repair_evaluated_scale_count,repair_collision_edge_checks,repair_latency_ms,repair_fallback_reason,legacy_conflict_resolved,repair_regression,raw_hand_displacement_m,legacy_hand_displacement_m,repair_hand_displacement_m
row_00389__free_space,0,0,389,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_04,libero_10__task_00__episode_04__overlap_unconditioned,4,22,free_space,5a9d8eb48d80b8a6f391b7999a765fe0bfcc504a3e6d4ae0c3629381b1531f5c,89.17021199886221,False,6,True,True,True,1,1,0,0,15.0,6.536600005347282,True,True,True,1.0,2,1,15.0,False,2,22,5.572900001425296,,False,False,0.27681793580610486,0.2714399843916023,0.2714399843916023
row_00389__single_block,1,0,389,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_04,libero_10__task_00__episode_04__overlap_unconditioned,4,22,single_block,5a9d8eb48d80b8a6f391b7999a765fe0bfcc504a3e6d4ae0c3629381b1531f5c,89.17021199886221,False,6,False,True,True,9,9,6,0,15.0,6.020800006808713,True,True,True,0.25,1,10,6.5249999999999995,False,5,34,7.493400000385009,,False,False,0.27681793580610486,0.08154853469610235,0.06965458011556767
row_00389__narrow_gate,2,0,389,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_04,libero_10__task_00__episode_04__overlap_unconditioned,4,22,narrow_gate,5a9d8eb48d80b8a6f391b7999a765fe0bfcc504a3e6d4ae0c3629381b1531f5c,89.17021199886221,False,6,False,True,True,6,6,4,0,15.0,6.640999999945052,True,True,True,0.5,1,10,13.049999999999999,False,4,35,8.353199998964556,,False,False,0.27681793580610486,0.1622592895686868,0.14032609302613294
row_00498__free_space,3,1,498,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_05,libero_10__task_00__episode_05__overlap_unconditioned,5,11,free_space,10c573643a49020407d005f50af7da08dc8373343a14a3d2b5c184eea376cbba,94.8057100031292,False,10,True,True,True,1,1,0,0,15.0,5.705100003979169,True,True,True,1.0,2,1,15.0,False,2,22,5.1048000023001805,,False,False,0.15772603897220566,0.1501842165588179,0.1501842165588179
row_00498__single_block,4,1,498,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_05,libero_10__task_00__episode_05__overlap_unconditioned,5,11,single_block,10c573643a49020407d005f50af7da08dc8373343a14a3d2b5c184eea376cbba,94.8057100031292,False,10,True,True,True,1,1,0,0,15.0,6.065099994884804,True,True,True,1.0,2,1,15.0,False,2,22,5.129700002726167,,False,False,0.15772603897220566,0.1501842165588179,0.1501842165588179
row_00498__narrow_gate,5,1,498,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_05,libero_10__task_00__episode_05__overlap_unconditioned,5,11,narrow_gate,10c573643a49020407d005f50af7da08dc8373343a14a3d2b5c184eea376cbba,94.8057100031292,False,10,True,True,True,1,1,0,0,15.0,5.920900002820417,True,True,True,1.0,2,1,15.0,False,2,22,4.912600008537993,,False,False,0.15772603897220566,0.1501842165588179,0.1501842165588179
row_00777__free_space,6,2,777,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_06,libero_10__task_00__episode_06__overlap_unconditioned,6,24,free_space,21dcde51316a61a06fbf6b6c54f8ce1b11ad66a6ea1ff4f4659efd8c7f7e146e,78.85194299888099,False,7,True,True,True,1,1,0,0,15.0,7.0260000065900385,True,True,True,1.0,2,1,15.0,False,2,22,5.360399998608045,,False,False,0.30114480992317433,0.2959256007447529,0.2959256007447529
row_00777__single_block,7,2,777,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_06,libero_10__task_00__episode_06__overlap_unconditioned,6,24,single_block,21dcde51316a61a06fbf6b6c54f8ce1b11ad66a6ea1ff4f4659efd8c7f7e146e,78.85194299888099,False,7,False,True,True,8,8,6,0,15.0,5.973699997412041,True,True,True,0.0,0,10,0.0,False,5,35,7.657399997697212,,False,False,0.30114480992317433,0.0929529932000205,0.0
row_00777__narrow_gate,8,2,777,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_06,libero_10__task_00__episode_06__overlap_unconditioned,6,24,narrow_gate,21dcde51316a61a06fbf6b6c54f8ce1b11ad66a6ea1ff4f4659efd8c7f7e146e,78.85194299888099,False,7,False,True,True,6,6,4,0,15.0,5.732900011935271,True,True,True,0.25,1,10,6.5249999999999995,False,5,44,9.357899994938634,,False,False,0.30114480992317433,0.1545526696600564,0.07428801194269578
row_00052__free_space,9,3,52,libero_10,0,projected_overlap,libero_10__task_00__episode_02,libero_10__task_00__episode_02__projected_overlap,2,4,free_space,c1af1b1d35e857c8f84f24b1176750295b5443f38a199b4844286541367b800a,79.29393599624746,False,8,True,True,True,1,1,0,0,15.0,5.604500009212643,True,True,True,1.0,2,1,15.0,False,2,22,5.444900001748465,,False,False,0.2045625691506247,0.20004610267513642,0.20004610267513642
