schema_version,namespace,episode_id,pair_id,condition_order,mode,task_suite,task_id,episode_index,replan_steps,query_index,seed,requested_key_sha256,expected_noise_sha256,server_key_sha256,server_noise_sha256,accepted,error_type,error_message
armbench.policy_sampling_trace.v1,warmup,,,,,libero_spatial,0,49,,0,7,663282c9aa06d9f9ad9cbe65726602ca7e5a123622761e02b55898e24e5fa191,ae360edf8986a861805069e3142f835f5395f23d781e9e989986639c9865212c,663282c9aa06d9f9ad9cbe65726602ca7e5a123622761e02b55898e24e5fa191,ae360edf8986a861805069e3142f835f5395f23d781e9e989986639c9865212c,True,,
armbench.policy_sampling_trace.v1,warmup,,,,,libero_spatial,0,49,,1,7,f5221519d50aeaad77201c4a956bdd0b64a47ead0e62dbc6a95fa2a42edaf42d,9ef218b1d74f5b2a34f0b7cdc754852744bc979a090f4658d29424646afad6bc,f5221519d50aeaad77201c4a956bdd0b64a47ead0e62dbc6a95fa2a42edaf42d,9ef218b1d74f5b2a34f0b7cdc754852744bc979a090f4658d29424646afad6bc,True,,
armbench.policy_sampling_trace.v1,warmup,,,,,libero_spatial,0,49,,2,7,c49ca54b2d9a0ac8af6f79f02e68c5549cfa46521658eacc7c8d05e1e38a42a3,7588aa99e4260f8dbe44795001b96b6d7c0c9202c7c0286e81c60a8b9244cc6c,c49ca54b2d9a0ac8af6f79f02e68c5549cfa46521658eacc7c8d05e1e38a42a3,7588aa99e4260f8dbe44795001b96b6d7c0c9202c7c0286e81c60a8b9244cc6c,True,,
armbench.policy_sampling_trace.v1,scored,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,async_unguarded,libero_spatial,0,5,5,0,7,7faba5f919774861b3c20581ec2e74f5a250da4678bd6eea5ec1effc3b9369b3,33d8e9880122b0e77e8004327e46e03e4b6147c9b7014a1eecfb2544831e6e4f,7faba5f919774861b3c20581ec2e74f5a250da4678bd6eea5ec1effc3b9369b3,33d8e9880122b0e77e8004327e46e03e4b6147c9b7014a1eecfb2544831e6e4f,True,,
armbench.policy_sampling_trace.v1,scored,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,async_unguarded,libero_spatial,0,5,5,1,7,5d46526d8cdb14ab4935103188cd974670c8dbfec7b2cc5f6a0e081f7c0c2eef,cb75731ca21e78237ef8780a00a20cdfbc318156bcf8c6f3bc1321c4d5926196,5d46526d8cdb14ab4935103188cd974670c8dbfec7b2cc5f6a0e081f7c0c2eef,cb75731ca21e78237ef8780a00a20cdfbc318156bcf8c6f3bc1321c4d5926196,True,,
armbench.policy_sampling_trace.v1,scored,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,async_unguarded,libero_spatial,0,5,5,2,7,daa78a2ad78c015f50eee04c681ee9e46d711ca5484024cc526146adbdcdc7aa,c92798c7ea532e2008b214615c17942c765067df55144e6eb54e32a9691c342c,daa78a2ad78c015f50eee04c681ee9e46d711ca5484024cc526146adbdcdc7aa,c92798c7ea532e2008b214615c17942c765067df55144e6eb54e32a9691c342c,True,,
armbench.policy_sampling_trace.v1,scored,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,async_unguarded,libero_spatial,0,5,5,3,7,1ef0cd06f15dac53e1c4acd571425fe6c7901b0cf5c1cd4eba56072a2923a21b,c2bf832cfd7f2ca45d0979b59b8c49dea829f9deb468476ea36e377dcb70fb62,1ef0cd06f15dac53e1c4acd571425fe6c7901b0cf5c1cd4eba56072a2923a21b,c2bf832cfd7f2ca45d0979b59b8c49dea829f9deb468476ea36e377dcb70fb62,True,,
armbench.policy_sampling_trace.v1,scored,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,async_unguarded,libero_spatial,0,5,5,4,7,d4258cf2e766e44b5465973d45790fa7e5a32067b2fdffc765b78ae1461cecb5,e1378b962bf776b0d4bb56fdad1b18e4a64da4b7bae4f14ca824441d07585132,d4258cf2e766e44b5465973d45790fa7e5a32067b2fdffc765b78ae1461cecb5,e1378b962bf776b0d4bb56fdad1b18e4a64da4b7bae4f14ca824441d07585132,True,,
armbench.policy_sampling_trace.v1,scored,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,async_unguarded,libero_spatial,0,5,5,5,7,0b9c989bf7d238fc28f0a8fc97e54a99c8e3aa9fe7a81a6c72b4c3842eca04a7,ea84c483a659f8de4a4abf978170d8d13e9e34a91372296a88db74d3b89d32b6,0b9c989bf7d238fc28f0a8fc97e54a99c8e3aa9fe7a81a6c72b4c3842eca04a7,ea84c483a659f8de4a4abf978170d8d13e9e34a91372296a88db74d3b89d32b6,True,,
armbench.policy_sampling_trace.v1,scored,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,async_unguarded,libero_spatial,0,5,5,6,7,08803fd7dcd5fe8b8fc022b6adfd50ea5411f30c11a3c91c2eb4ed0b0c0f38c1,1dfa7f808ac0b27ed188bdcc5df82de0ec2d8c6a13ae9c82d0057c9922558a1f,08803fd7dcd5fe8b8fc022b6adfd50ea5411f30c11a3c91c2eb4ed0b0c0f38c1,1dfa7f808ac0b27ed188bdcc5df82de0ec2d8c6a13ae9c82d0057c9922558a1f,True,,
