schema_version,episode_id,task_suite,task_id,episode_index,task_description,seed,task_success,termination_reason,initial_state_sha256,stabilization_steps,task_steps,wall_time_s,parent_process_id,worker_process_id,worker_stopped,submitted_requests,started_requests,completed_requests,superseded_requests,accepted_responses,failed_responses,deadline_exceeded_responses,hold_ticks,execute_ticks,ticks_during_inference,tick_overruns,response_age_p50_ms,response_age_p95_ms,response_age_max_ms,video_path
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_00,libero_spatial,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,8,True,task_success,a6db032a71041791fbc1abf677d4c70813c24c8a608bd77e606c5a5516596950,10,73,13.877825632996974,1,158,True,73,45,44,27,44,0,0,13,60,71,1,108.67341750417836,129.7046513944224,131.63430699205492,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_01,libero_spatial,0,1,pick up the black bowl between the plate and the ramekin and place it on the plate,8,True,task_success,278492f91da9db900616fd988bf35ccda53896ced8ca433dde3c9dca18d55de9,10,71,8.97191641399695,1,231,True,71,44,43,26,43,0,0,10,61,69,1,105.77167700103018,129.77443730342202,133.03162400552537,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_02,libero_spatial,0,2,pick up the black bowl between the plate and the ramekin and place it on the plate,8,True,task_success,20f215103be3d40a8066c4fe6a5727b31615f0f5a55f47833491be03c044366f,10,71,8.855044298994471,1,304,True,71,44,43,26,43,0,0,10,61,69,1,108.66391700983513,129.9839878018247,131.10225400305353,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_000__episode_03,libero_spatial,0,3,pick up the black bowl between the plate and the ramekin and place it on the plate,8,True,task_success,0176a3eb1aa0f7bb2c7001f24df4a9609a9add18cdab1ef13d1ce18c54beeb40,10,69,8.827233967007487,1,377,True,69,43,42,25,42,0,0,10,59,68,1,104.37743350485107,130.2398495507077,131.87262399878819,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_00,libero_spatial,1,0,pick up the black bowl next to the ramekin and place it on the plate,8,True,task_success,37dfcc9def4feae74fa2bb09d7c2338ca4f501463c28d175e25a3119d01eebaf,10,110,10.92547411400301,1,450,True,110,69,68,41,68,0,0,14,96,109,1,107.99475199746666,131.60164475921192,132.97455600695685,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_01,libero_spatial,1,1,pick up the black bowl next to the ramekin and place it on the plate,8,True,task_success,038481525d636074482f6eb1fdd54e0b4b62a0232875c77184fc78f436de04c7,10,98,10.000065538988565,1,523,True,98,61,60,36,60,0,0,14,84,96,1,108.42739849613281,129.95995615856373,133.35813100275118,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_02,libero_spatial,1,2,pick up the black bowl next to the ramekin and place it on the plate,8,True,task_success,22cdb509a45b0215507677e484316bdbadede454c5430d32bdae9814697eed74,10,101,10.223998845001915,1,596,True,101,63,62,37,62,0,0,14,87,99,1,107.57267200096976,129.63300315022934,132.74356299370993,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_001__episode_03,libero_spatial,1,3,pick up the black bowl next to the ramekin and place it on the plate,8,True,task_success,c3293281c61471554a1ffa63ff56fb493c61e5fa5d46e84e054c8f0b5d602651,10,105,10.365223614993738,1,669,True,105,65,64,39,64,0,0,16,89,103,1,108.27922449971084,131.47917985115782,132.5163769943174,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_00,libero_spatial,2,0,pick up the black bowl from table center and place it on the plate,8,True,task_success,149d26b8f163da15e9580b76568baf6effd9a55e60ab407c53aa01ee3a8223b7,10,106,10.748359035002068,1,742,True,106,66,65,40,65,0,0,17,89,105,1,106.59655199560802,128.50657820526976,136.09004400495905,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_01,libero_spatial,2,1,pick up the black bowl from table center and place it on the plate,8,True,task_success,10dff1a03dc73d7a05d9ea0670467a3d4936ec49dc8b8af0df964109940911ed,10,105,10.484181396997883,1,815,True,105,66,65,38,65,0,0,13,92,103,1,104.48631100007333,129.2445604049135,133.5700430063298,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_02,libero_spatial,2,2,pick up the black bowl from table center and place it on the plate,8,True,task_success,4b393f46412fdced9fdd925e55dddda291b1ba09f5d062d4a63032d43492c003,10,108,10.819511680994765,1,888,True,108,68,67,40,67,0,0,15,93,107,1,108.52549099945463,130.29473060305463,131.88340699707624,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_002__episode_03,libero_spatial,2,3,pick up the black bowl from table center and place it on the plate,8,True,task_success,d67e69d4f8823bbe8f4e01bbf2aea7eb3a46eb112554106f71dd6b1c953ae6b7,10,95,10.149311625005794,1,961,True,95,59,58,35,58,0,0,13,82,92,1,108.60562300513266,130.98536404722836,133.04308599617798,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_003__episode_00,libero_spatial,3,0,pick up the black bowl on the cookie box and place it on the plate,8,True,task_success,63e3f2e0b980d79c6d974bb7d9d537d1997a100670f27bbff2946a11cfa0b635,10,95,9.908429529008572,1,1034,True,95,59,58,35,58,0,0,10,85,93,1,103.62010649987496,126.47085180142312,133.2663909997791,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_003__episode_01,libero_spatial,3,1,pick up the black bowl on the cookie box and place it on the plate,8,True,task_success,1389df4eaca7a1a74b8dd5364347e0d749d1bed10a58143e39be03fc0ab82f41,10,83,9.535933237988502,1,1107,True,83,52,51,30,51,0,0,12,71,81,1,108.31882999627851,130.34946999687236,132.6016490056645,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_003__episode_02,libero_spatial,3,2,pick up the black bowl on the cookie box and place it on the plate,8,True,task_success,7e46eb0926b19da8520a12aa89a2137d9e4603b4a97ec83da200dc73c63f9dfb,10,82,9.52354945600382,1,1180,True,82,52,51,30,51,0,0,10,72,81,1,106.84378200676292,129.66704949940322,131.43168100214098,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_003__episode_03,libero_spatial,3,3,pick up the black bowl on the cookie box and place it on the plate,8,False,max_ticks,a93982cfb7190095b7b03108be7ca4828a77f649509bde23d7bc535c91a75189,10,220,16.34616295900196,1,1253,True,220,138,137,81,137,0,0,25,195,216,1,107.48192999744788,129.69312359637115,131.80432698572986,videos/libero_spatial__task_003__episode_03.mp4
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_004__episode_00,libero_spatial,4,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,8,True,task_success,1bec82314760dc1015377b8cebf3627af0020e1c7ce928989a7d6fdc8679649a,10,205,15.592021572010708,1,1417,True,205,129,128,76,128,0,0,25,180,202,1,108.68035499152029,130.87285455476376,132.82762200105935,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_004__episode_01,libero_spatial,4,1,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,8,True,task_success,edb02423af27fd85edc08731a8438e5f3de8dd2454592461a4a8824a3c2db194,10,138,12.287502790000872,1,1490,True,138,86,85,51,85,0,0,17,121,135,1,107.24694799864665,129.8805057973368,134.3489240098279,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_004__episode_02,libero_spatial,4,2,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,8,True,task_success,f8a2dbb1a987b5a79f5a64914ea62ff0563800c668fbe3e3e8bc5bfc0598a5de,10,155,13.139283303011325,1,1563,True,155,97,96,57,96,0,0,18,137,153,1,106.52087649941677,129.3721732472477,132.84496500273235,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_004__episode_03,libero_spatial,4,3,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,8,False,max_ticks,3376a8bfa399d19ecfe12c62fee6d899c23250492d93f90ceb0cdbb97da750da,10,220,16.253187911002897,1,1636,True,220,138,137,81,137,0,0,26,194,217,1,107.87483700551093,129.2817715962883,133.38147099420894,videos/libero_spatial__task_004__episode_03.mp4
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_005__episode_00,libero_spatial,5,0,pick up the black bowl on the ramekin and place it on the plate,8,True,task_success,50a2e023070589c05828b0773b9013c33931872a1128e2a5498b6d5c9a6199d9,10,93,9.883633019999252,1,1753,True,93,58,57,34,57,0,0,12,81,91,1,104.27702400193084,127.71643619635142,131.49024201266002,
armbench.pi05_libero_independent_clock.v1,libero_spatial__task_005__episode_01,libero_spatial,5,1,pick up the black bowl on the ramekin and place it on the plate,8,True,task_success,dc873b54c357efc1331f6ec3ecc0218451cfca3758a2c587bbcba01e3a152536,10,95,10.108456601999933,1,1826,True,95,59,58,35,58,0,0,13,82,93,1,110.4951270026504,131.2107877485687,132.5676749984268,
