schema_version,episode_id,pair_id,condition_order,task_suite,task_id,episode_index,task_description,mode,latency_source,replan_steps,latency_steps,seed,success,termination_reason,initial_state_sha256,environment_steps,task_action_steps,latency_action_steps,policy_queries,accepted_chunks,rejected_chunks,stale_chunks_executed,stale_action_steps,interventions,deadline_misses,horizon_overruns,age_refreshes,fallback_hold_steps,simulated_catchup_steps,observation_age_p50_ms,observation_age_p95_ms,observation_age_max_ms,inference_latency_p50_ms,inference_latency_p95_ms,wall_time_s,failure_category,failure_type,failure_message,video_required,video_path,video_error_type,video_error_message
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,libero_spatial,0,5,pick up the black bowl between the plate and the ramekin and place it on the plate,async_unguarded,measured_wall,5,0,7,True,success_during_inference_delay,a02a6f3f78646a8aebf5c7f992587f813845a963ea2937c77e76b0e7c559ed60,118,65,43,14,13,0,13,65,0,0,0,0,0,43,244.79791449994082,247.54693584909546,248.44968899924424,83.00619200053916,85.1757753507627,6.520852528999967,,,,True,videos/libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded__success.mp4,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__latency_aligned,libero_spatial/task_000/episode_005/h_05/l_000,1,libero_spatial,0,5,pick up the black bowl between the plate and the ramekin and place it on the plate,latency_aligned,measured_wall,5,0,7,True,task_success,a02a6f3f78646a8aebf5c7f992587f813845a963ea2937c77e76b0e7c559ed60,82,43,29,9,9,0,9,43,0,0,0,0,0,29,244.2622510025103,245.36605600005714,245.42147399915848,82.40710600148304,83.64981499980786,4.6993975279983715,,,,True,videos/libero_spatial__task_000__episode_005__h_05__l_000__latency_aligned__success.mp4,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_006__h_05__l_000__latency_aligned,libero_spatial/task_000/episode_006/h_05/l_000,2,libero_spatial,0,6,pick up the black bowl between the plate and the ramekin and place it on the plate,latency_aligned,measured_wall,5,0,7,True,task_success,13cefaeb7cbe5564bb1420fe55fbde3b8a60a9d382517639b05ad247fce3044d,80,50,20,10,10,0,10,50,0,0,0,0,0,20,106.07460599931073,208.89974889942087,244.9909809984092,81.9146030007687,83.73283064793213,4.146224011001323,,,,True,videos/libero_spatial__task_000__episode_006__h_05__l_000__latency_aligned__success.mp4,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_006__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_006/h_05/l_000,3,libero_spatial,0,6,pick up the black bowl between the plate and the ramekin and place it on the plate,async_unguarded,measured_wall,5,0,7,False,step_limit,13cefaeb7cbe5564bb1420fe55fbde3b8a60a9d382517639b05ad247fce3044d,230,147,73,30,30,0,30,147,0,0,0,0,0,73,124.64640300095198,244.91506525155273,245.11806200098363,81.84602099936455,82.74237049954536,11.592786984998384,,,,True,videos/libero_spatial__task_000__episode_006__h_05__l_000__async_unguarded__failure.mp4,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_007__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_007/h_05/l_000,4,libero_spatial,0,7,pick up the black bowl between the plate and the ramekin and place it on the plate,async_unguarded,measured_wall,5,0,7,True,task_success,2f10b6cf2b4012897a30a4696147807976c704627578a527b88a53474db0fe23,210,133,67,27,27,0,27,133,0,0,0,0,0,67,163.99549200286856,244.8244879989943,245.24924399884185,81.81854500071495,82.41787359911541,10.678157054000621,,,,True,videos/libero_spatial__task_000__episode_007__h_05__l_000__async_unguarded__success.mp4,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_007__h_05__l_000__latency_aligned,libero_spatial/task_000/episode_007/h_05/l_000,5,libero_spatial,0,7,pick up the black bowl between the plate and the ramekin and place it on the plate,latency_aligned,measured_wall,5,0,7,True,task_success,2f10b6cf2b4012897a30a4696147807976c704627578a527b88a53474db0fe23,86,49,27,10,10,0,10,49,0,0,0,0,0,27,164.61190649897617,210.44171859866756,245.03389899837202,82.9606844981754,85.3151095980138,4.705803195000044,,,,True,videos/libero_spatial__task_000__episode_007__h_05__l_000__latency_aligned__success.mp4,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_008__h_05__l_000__latency_aligned,libero_spatial/task_000/episode_008/h_05/l_000,6,libero_spatial,0,8,pick up the black bowl between the plate and the ramekin and place it on the plate,latency_aligned,measured_wall,5,0,7,True,success_during_inference_delay,d14dac54e6f5c9da2e1288dd1450759f9753f25bbd26d827096c8ff470cc2ea7,85,50,25,11,10,0,10,50,0,0,0,0,0,25,124.89999099852866,244.56966549951176,244.67427600029623,81.89863299776334,83.27632299915422,4.830782276003447,,,,True,videos/libero_spatial__task_000__episode_008__h_05__l_000__latency_aligned__success.mp4,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_008__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_008/h_05/l_000,7,libero_spatial,0,8,pick up the black bowl between the plate and the ramekin and place it on the plate,async_unguarded,measured_wall,5,0,7,True,task_success,d14dac54e6f5c9da2e1288dd1450759f9753f25bbd26d827096c8ff470cc2ea7,180,116,54,24,24,0,24,116,0,0,0,0,0,54,126.42245849929168,244.8442263985271,245.4509710005368,82.05352400000265,85.3823878991534,9.186605835999217,,,,True,videos/libero_spatial__task_000__episode_008__h_05__l_000__async_unguarded__success.mp4,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_009__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_009/h_05/l_000,8,libero_spatial,0,9,pick up the black bowl between the plate and the ramekin and place it on the plate,async_unguarded,measured_wall,5,0,7,False,step_limit,dedf472d52af354a3fdb19168d6c8b7afce8267b3b7432844dd893e22f01f7cb,230,150,70,30,30,0,30,150,0,0,0,0,0,70,125.48814000001585,244.78701269927114,245.01159300052677,81.86929099974805,83.27490729971032,11.264606767999794,,,,True,videos/libero_spatial__task_000__episode_009__h_05__l_000__async_unguarded__failure.mp4,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_009__h_05__l_000__latency_aligned,libero_spatial/task_000/episode_009/h_05/l_000,9,libero_spatial,0,9,pick up the black bowl between the plate and the ramekin and place it on the plate,latency_aligned,measured_wall,5,0,7,True,task_success,dedf472d52af354a3fdb19168d6c8b7afce8267b3b7432844dd893e22f01f7cb,84,53,21,11,11,0,11,53,0,0,0,0,0,21,124.56944199948339,205.6459494997398,244.71167899901047,81.94100399850868,83.1002590002754,4.372471358001349,,,,True,videos/libero_spatial__task_000__episode_009__h_05__l_000__latency_aligned__success.mp4,,
