schema_version,episode_id,pair_id,condition_order,task_suite,task_id,episode_index,task_description,mode,replan_steps,latency_steps,injected_latency_ms,fixed_refresh_interval,seed,success,termination_reason,initial_state_sha256,environment_steps,task_action_steps,latency_action_steps,policy_queries,accepted_chunks,rejected_chunks,stale_chunks_executed,stale_action_steps,interventions,inference_latency_p50_ms,inference_latency_p95_ms,policy_inference_latency_p50_ms,policy_inference_latency_p95_ms,server_inference_latency_p50_ms,server_inference_latency_p95_ms,wall_time_s,failure_category,failure_type,failure_message,video_required,video_path,video_error_type,video_error_message
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_000,0,libero_spatial,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,async_unguarded,5,0,0.0,,7,True,task_success,a6db032a71041791fbc1abf677d4c70813c24c8a608bd77e606c5a5516596950,113,103,0,21,21,0,0,0,0,81.29541900052573,83.61535699805245,57.944797998061404,58.26114899900858,80.31579900125507,82.34253600312513,28.975524886998755,,,,True,videos/libero_spatial__task_000__episode_000__h_05__l_000__async_unguarded__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_000__latency_aligned,libero_spatial/task_000/episode_000/h_05/l_000,1,libero_spatial,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,latency_aligned,5,0,0.0,,7,True,task_success,a6db032a71041791fbc1abf677d4c70813c24c8a608bd77e606c5a5516596950,90,80,0,16,16,0,0,0,0,80.91609200164385,83.51611524904001,58.02369350021763,58.23376400167035,80.02734349975071,82.40304350147198,4.517815818002418,,,,True,videos/libero_spatial__task_000__episode_000__h_05__l_000__latency_aligned__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_002__latency_aligned,libero_spatial/task_000/episode_000/h_05/l_002,2,libero_spatial,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,latency_aligned,5,2,100.0,,7,True,task_success,a6db032a71041791fbc1abf677d4c70813c24c8a608bd77e606c5a5516596950,87,55,22,11,11,0,11,55,0,81.89089200095623,83.64490900021337,58.122716000070795,58.46637200011173,81.08194099986576,82.46223499918415,4.149823927000398,,,,True,videos/libero_spatial__task_000__episode_000__h_05__l_002__latency_aligned__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_002__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_002,3,libero_spatial,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,async_unguarded,5,2,100.0,,7,False,step_limit,a6db032a71041791fbc1abf677d4c70813c24c8a608bd77e606c5a5516596950,230,156,64,32,32,0,32,156,0,80.57445499980531,83.30917344937916,57.954525498644216,58.38914184914756,79.75718799934839,82.12628334767942,9.816777152002032,,,,True,videos/libero_spatial__task_000__episode_000__h_05__l_002__async_unguarded__failure.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_000/h_05/l_004,4,libero_spatial,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,async_unguarded,5,4,200.0,,7,True,task_success,a6db032a71041791fbc1abf677d4c70813c24c8a608bd77e606c5a5516596950,187,97,80,20,20,0,20,97,0,81.17097199829004,83.14704685053584,58.051269999850774,58.28706685006182,80.20141250017332,82.15152744924126,7.717048082999099,,,,True,videos/libero_spatial__task_000__episode_000__h_05__l_004__async_unguarded__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_000__h_05__l_004__latency_aligned,libero_spatial/task_000/episode_000/h_05/l_004,5,libero_spatial,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,latency_aligned,5,4,200.0,,7,True,task_success,a6db032a71041791fbc1abf677d4c70813c24c8a608bd77e606c5a5516596950,125,63,52,13,13,0,13,63,0,81.09353200052283,82.63928460000898,58.1445950010675,58.364506600628374,80.24048100196524,81.5360018008505,5.287124696002138,,,,True,videos/libero_spatial__task_000__episode_000__h_05__l_004__latency_aligned__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_001__h_05__l_000__latency_aligned,libero_spatial/task_000/episode_001/h_05/l_000,6,libero_spatial,0,1,pick up the black bowl between the plate and the ramekin and place it on the plate,latency_aligned,5,0,0.0,,7,True,task_success,278492f91da9db900616fd988bf35ccda53896ced8ca433dde3c9dca18d55de9,119,109,0,22,22,0,0,0,0,80.53316550103773,82.90329905030376,58.03996500071662,58.21795200172346,79.79421200070647,82.06211194956268,5.884441576999961,,,,True,videos/libero_spatial__task_000__episode_001__h_05__l_000__latency_aligned__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_001__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_001/h_05/l_000,7,libero_spatial,0,1,pick up the black bowl between the plate and the ramekin and place it on the plate,async_unguarded,5,0,0.0,,7,True,task_success,278492f91da9db900616fd988bf35ccda53896ced8ca433dde3c9dca18d55de9,121,111,0,23,23,0,0,0,0,80.3740410010505,82.0483334002347,57.8412959985144,58.05023429893481,79.59956099875853,81.01063039975998,6.024592649002443,,,,True,videos/libero_spatial__task_000__episode_001__h_05__l_000__async_unguarded__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_001__h_05__l_002__async_unguarded,libero_spatial/task_000/episode_001/h_05/l_002,8,libero_spatial,0,1,pick up the black bowl between the plate and the ramekin and place it on the plate,async_unguarded,5,2,100.0,,7,True,task_success,278492f91da9db900616fd988bf35ccda53896ced8ca433dde3c9dca18d55de9,146,96,40,20,20,0,20,96,0,80.95854800012603,82.66766730066593,57.91153849895636,58.1607931491817,80.15791000070749,81.54977850172145,6.765803466998477,,,,True,videos/libero_spatial__task_000__episode_001__h_05__l_002__async_unguarded__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_001__h_05__l_002__latency_aligned,libero_spatial/task_000/episode_001/h_05/l_002,9,libero_spatial,0,1,pick up the black bowl between the plate and the ramekin and place it on the plate,latency_aligned,5,2,100.0,,7,True,task_success,278492f91da9db900616fd988bf35ccda53896ced8ca433dde3c9dca18d55de9,120,78,32,16,16,0,16,78,0,80.3826305000257,81.91239825009689,57.83482849983557,58.18358124997758,79.55695099917648,80.82200574972376,5.3482954440005415,,,,True,videos/libero_spatial__task_000__episode_001__h_05__l_002__latency_aligned__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_001__h_05__l_004__latency_aligned,libero_spatial/task_000/episode_001/h_05/l_004,10,libero_spatial,0,1,pick up the black bowl between the plate and the ramekin and place it on the plate,latency_aligned,5,4,200.0,,7,True,success_during_inference_delay,278492f91da9db900616fd988bf35ccda53896ced8ca433dde3c9dca18d55de9,94,45,39,10,9,0,9,45,0,81.03054499952123,82.72801590101153,57.94383300053596,58.171931052129366,80.20675999978266,81.52902184974664,4.389169613001286,,,,True,videos/libero_spatial__task_000__episode_001__h_05__l_004__latency_aligned__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_001__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_001/h_05/l_004,11,libero_spatial,0,1,pick up the black bowl between the plate and the ramekin and place it on the plate,async_unguarded,5,4,200.0,,7,False,step_limit,278492f91da9db900616fd988bf35ccda53896ced8ca433dde3c9dca18d55de9,230,120,100,25,24,0,24,120,0,81.52591199905146,83.19178939855192,57.89716499930364,58.26187660204596,80.49866700093844,81.86600300105056,9.268117444997188,,,,True,videos/libero_spatial__task_000__episode_001__h_05__l_004__async_unguarded__failure.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_002__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_002/h_05/l_000,12,libero_spatial,0,2,pick up the black bowl between the plate and the ramekin and place it on the plate,async_unguarded,5,0,0.0,,7,True,task_success,20f215103be3d40a8066c4fe6a5727b31615f0f5a55f47833491be03c044366f,89,79,0,16,16,0,0,0,0,80.13967599981697,81.81530625006417,57.785224498729804,58.00219225238834,79.2285420011467,80.62162099849957,4.6683009849984956,,,,True,videos/libero_spatial__task_000__episode_002__h_05__l_000__async_unguarded__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_002__h_05__l_000__latency_aligned,libero_spatial/task_000/episode_002/h_05/l_000,13,libero_spatial,0,2,pick up the black bowl between the plate and the ramekin and place it on the plate,latency_aligned,5,0,0.0,,7,True,task_success,20f215103be3d40a8066c4fe6a5727b31615f0f5a55f47833491be03c044366f,121,111,0,23,23,0,0,0,0,80.68064100007177,82.34243869846978,57.80580499776988,57.97286229899328,79.87067399881198,81.57789789947856,5.89703839700087,,,,True,videos/libero_spatial__task_000__episode_002__h_05__l_000__latency_aligned__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_002__h_05__l_002__latency_aligned,libero_spatial/task_000/episode_002/h_05/l_002,14,libero_spatial,0,2,pick up the black bowl between the plate and the ramekin and place it on the plate,latency_aligned,5,2,100.0,,7,True,task_success,20f215103be3d40a8066c4fe6a5727b31615f0f5a55f47833491be03c044366f,87,55,22,11,11,0,11,55,0,80.9422780002933,82.42858350058668,57.897577000403544,58.16714550019242,80.0670419994276,81.58263949917455,4.020986649000406,,,,True,videos/libero_spatial__task_000__episode_002__h_05__l_002__latency_aligned__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_002__h_05__l_002__async_unguarded,libero_spatial/task_000/episode_002/h_05/l_002,15,libero_spatial,0,2,pick up the black bowl between the plate and the ramekin and place it on the plate,async_unguarded,5,2,100.0,,7,True,task_success,20f215103be3d40a8066c4fe6a5727b31615f0f5a55f47833491be03c044366f,160,106,44,22,22,0,22,106,0,81.76652400106832,83.38724955174257,57.97667549995822,58.230317148445465,80.83745499970973,82.32822850059165,7.321033803997125,,,,True,videos/libero_spatial__task_000__episode_002__h_05__l_002__async_unguarded__success.mp4,,
