task_suite,task_id,episode_index,replan_steps,latency_steps,seed,initial_state_sha256,pair_id,async_unguarded_success,latency_aligned_success,aligned_minus_async_success,async_unguarded_policy_queries,latency_aligned_policy_queries,aligned_minus_async_policy_queries,async_unguarded_runtime_failure,latency_aligned_runtime_failure,async_unguarded_failure_category,latency_aligned_failure_category,async_unguarded_failure_type,latency_aligned_failure_type
libero_spatial,0,0,5,0,7,a6db032a71041791fbc1abf677d4c70813c24c8a608bd77e606c5a5516596950,libero_spatial/task_000/episode_000/h_05/l_000,True,True,0,21,16,-5,False,False,,,,
libero_spatial,0,0,5,2,7,a6db032a71041791fbc1abf677d4c70813c24c8a608bd77e606c5a5516596950,libero_spatial/task_000/episode_000/h_05/l_002,False,True,1,32,11,-21,False,False,,,,
libero_spatial,0,0,5,4,7,a6db032a71041791fbc1abf677d4c70813c24c8a608bd77e606c5a5516596950,libero_spatial/task_000/episode_000/h_05/l_004,True,True,0,20,13,-7,False,False,,,,
libero_spatial,0,1,5,0,7,278492f91da9db900616fd988bf35ccda53896ced8ca433dde3c9dca18d55de9,libero_spatial/task_000/episode_001/h_05/l_000,True,True,0,23,22,-1,False,False,,,,
libero_spatial,0,1,5,2,7,278492f91da9db900616fd988bf35ccda53896ced8ca433dde3c9dca18d55de9,libero_spatial/task_000/episode_001/h_05/l_002,True,True,0,20,16,-4,False,False,,,,
libero_spatial,0,1,5,4,7,278492f91da9db900616fd988bf35ccda53896ced8ca433dde3c9dca18d55de9,libero_spatial/task_000/episode_001/h_05/l_004,False,True,1,25,10,-15,False,False,,,,
libero_spatial,0,2,5,0,7,20f215103be3d40a8066c4fe6a5727b31615f0f5a55f47833491be03c044366f,libero_spatial/task_000/episode_002/h_05/l_000,True,True,0,16,23,7,False,False,,,,
libero_spatial,0,2,5,2,7,20f215103be3d40a8066c4fe6a5727b31615f0f5a55f47833491be03c044366f,libero_spatial/task_000/episode_002/h_05/l_002,True,True,0,22,11,-11,False,False,,,,
libero_spatial,0,2,5,4,7,20f215103be3d40a8066c4fe6a5727b31615f0f5a55f47833491be03c044366f,libero_spatial/task_000/episode_002/h_05/l_004,False,True,1,25,10,-15,False,False,,,,
libero_spatial,0,3,5,0,7,0176a3eb1aa0f7bb2c7001f24df4a9609a9add18cdab1ef13d1ce18c54beeb40,libero_spatial/task_000/episode_003/h_05/l_000,True,True,0,15,16,1,False,False,,,,
libero_spatial,0,3,5,2,7,0176a3eb1aa0f7bb2c7001f24df4a9609a9add18cdab1ef13d1ce18c54beeb40,libero_spatial/task_000/episode_003/h_05/l_002,True,True,0,32,12,-20,False,False,,,,
libero_spatial,0,3,5,4,7,0176a3eb1aa0f7bb2c7001f24df4a9609a9add18cdab1ef13d1ce18c54beeb40,libero_spatial/task_000/episode_003/h_05/l_004,False,True,1,25,10,-15,False,False,,,,
libero_spatial,0,4,5,0,7,e028ab4976791a4c402249a77b5b09b44549d6a65acd8f629d9a61c45f049c6b,libero_spatial/task_000/episode_004/h_05/l_000,True,True,0,15,15,0,False,False,,,,
libero_spatial,0,4,5,2,7,e028ab4976791a4c402249a77b5b09b44549d6a65acd8f629d9a61c45f049c6b,libero_spatial/task_000/episode_004/h_05/l_002,True,True,0,13,12,-1,False,False,,,,
libero_spatial,0,4,5,4,7,e028ab4976791a4c402249a77b5b09b44549d6a65acd8f629d9a61c45f049c6b,libero_spatial/task_000/episode_004/h_05/l_004,False,True,1,25,10,-15,False,False,,,,
libero_spatial,1,0,5,0,7,37dfcc9def4feae74fa2bb09d7c2338ca4f501463c28d175e25a3119d01eebaf,libero_spatial/task_001/episode_000/h_05/l_000,True,True,0,22,23,1,False,False,,,,
libero_spatial,1,0,5,2,7,37dfcc9def4feae74fa2bb09d7c2338ca4f501463c28d175e25a3119d01eebaf,libero_spatial/task_001/episode_000/h_05/l_002,False,True,1,32,17,-15,False,False,,,,
libero_spatial,1,0,5,4,7,37dfcc9def4feae74fa2bb09d7c2338ca4f501463c28d175e25a3119d01eebaf,libero_spatial/task_001/episode_000/h_05/l_004,False,True,1,25,14,-11,False,False,,,,
libero_spatial,1,1,5,0,7,038481525d636074482f6eb1fdd54e0b4b62a0232875c77184fc78f436de04c7,libero_spatial/task_001/episode_001/h_05/l_000,True,True,0,20,19,-1,False,False,,,,
libero_spatial,1,1,5,2,7,038481525d636074482f6eb1fdd54e0b4b62a0232875c77184fc78f436de04c7,libero_spatial/task_001/episode_001/h_05/l_002,False,True,1,32,15,-17,False,False,,,,
libero_spatial,1,1,5,4,7,038481525d636074482f6eb1fdd54e0b4b62a0232875c77184fc78f436de04c7,libero_spatial/task_001/episode_001/h_05/l_004,False,True,1,25,13,-12,False,False,,,,
libero_spatial,1,2,5,0,7,22cdb509a45b0215507677e484316bdbadede454c5430d32bdae9814697eed74,libero_spatial/task_001/episode_002/h_05/l_000,True,True,0,21,21,0,False,False,,,,
libero_spatial,1,2,5,2,7,22cdb509a45b0215507677e484316bdbadede454c5430d32bdae9814697eed74,libero_spatial/task_001/episode_002/h_05/l_002,True,True,0,18,15,-3,False,False,,,,
libero_spatial,1,2,5,4,7,22cdb509a45b0215507677e484316bdbadede454c5430d32bdae9814697eed74,libero_spatial/task_001/episode_002/h_05/l_004,False,True,1,25,14,-11,False,False,,,,
libero_spatial,1,3,5,0,7,c3293281c61471554a1ffa63ff56fb493c61e5fa5d46e84e054c8f0b5d602651,libero_spatial/task_001/episode_003/h_05/l_000,True,True,0,21,22,1,False,False,,,,
libero_spatial,1,3,5,2,7,c3293281c61471554a1ffa63ff56fb493c61e5fa5d46e84e054c8f0b5d602651,libero_spatial/task_001/episode_003/h_05/l_002,True,True,0,21,16,-5,False,False,,,,
libero_spatial,1,3,5,4,7,c3293281c61471554a1ffa63ff56fb493c61e5fa5d46e84e054c8f0b5d602651,libero_spatial/task_001/episode_003/h_05/l_004,False,True,1,25,14,-11,False,False,,,,
libero_spatial,1,4,5,0,7,203e4b51ca33cdd04c89727d41bfa267c945523a96e45584ce703e278c548219,libero_spatial/task_001/episode_004/h_05/l_000,True,True,0,22,23,1,False,False,,,,
libero_spatial,1,4,5,2,7,203e4b51ca33cdd04c89727d41bfa267c945523a96e45584ce703e278c548219,libero_spatial/task_001/episode_004/h_05/l_002,True,True,0,22,17,-5,False,False,,,,
libero_spatial,1,4,5,4,7,203e4b51ca33cdd04c89727d41bfa267c945523a96e45584ce703e278c548219,libero_spatial/task_001/episode_004/h_05/l_004,True,True,0,19,13,-6,False,False,,,,
libero_spatial,2,0,5,0,7,149d26b8f163da15e9580b76568baf6effd9a55e60ab407c53aa01ee3a8223b7,libero_spatial/task_002/episode_000/h_05/l_000,True,True,0,26,25,-1,False,False,,,,
libero_spatial,2,0,5,2,7,149d26b8f163da15e9580b76568baf6effd9a55e60ab407c53aa01ee3a8223b7,libero_spatial/task_002/episode_000/h_05/l_002,True,True,0,18,15,-3,False,False,,,,
libero_spatial,2,0,5,4,7,149d26b8f163da15e9580b76568baf6effd9a55e60ab407c53aa01ee3a8223b7,libero_spatial/task_002/episode_000/h_05/l_004,False,True,1,25,12,-13,False,False,,,,
libero_spatial,2,1,5,0,7,10dff1a03dc73d7a05d9ea0670467a3d4936ec49dc8b8af0df964109940911ed,libero_spatial/task_002/episode_001/h_05/l_000,True,True,0,22,21,-1,False,False,,,,
libero_spatial,2,1,5,2,7,10dff1a03dc73d7a05d9ea0670467a3d4936ec49dc8b8af0df964109940911ed,libero_spatial/task_002/episode_001/h_05/l_002,True,True,0,21,16,-5,False,False,,,,
libero_spatial,2,1,5,4,7,10dff1a03dc73d7a05d9ea0670467a3d4936ec49dc8b8af0df964109940911ed,libero_spatial/task_002/episode_001/h_05/l_004,True,True,0,18,13,-5,False,False,,,,
libero_spatial,2,2,5,0,7,4b393f46412fdced9fdd925e55dddda291b1ba09f5d062d4a63032d43492c003,libero_spatial/task_002/episode_002/h_05/l_000,True,True,0,19,19,0,False,False,,,,
libero_spatial,2,2,5,2,7,4b393f46412fdced9fdd925e55dddda291b1ba09f5d062d4a63032d43492c003,libero_spatial/task_002/episode_002/h_05/l_002,True,True,0,17,15,-2,False,False,,,,
libero_spatial,2,2,5,4,7,4b393f46412fdced9fdd925e55dddda291b1ba09f5d062d4a63032d43492c003,libero_spatial/task_002/episode_002/h_05/l_004,False,True,1,25,11,-14,False,False,,,,
libero_spatial,2,3,5,0,7,d67e69d4f8823bbe8f4e01bbf2aea7eb3a46eb112554106f71dd6b1c953ae6b7,libero_spatial/task_002/episode_003/h_05/l_000,True,True,0,19,19,0,False,False,,,,
libero_spatial,2,3,5,2,7,d67e69d4f8823bbe8f4e01bbf2aea7eb3a46eb112554106f71dd6b1c953ae6b7,libero_spatial/task_002/episode_003/h_05/l_002,True,True,0,17,14,-3,False,False,,,,
